scenario,rank,Fe_at%,Ni_at%,Co_at%,Cr_at%,Mn_at%,Cu_at%,Mo_at%,Si_at%,Al_at%,V_at%,Tc_C,Hc_A_m,Br_T,sigma_y_MPa,Tc_std_C,delta_M_T,kappa_WmK,M_at_low_T,M_at_high_T,fitness
中溫廢熱_350C,1,73.01,3.85,0.68,12.37,1.09,3.45,0.86,3.51,0.78,0.41,360.9,230.31,0.735,463.0,0.0,0.1867,83.5,0.1867,0.0,0.6994
中溫廢熱_350C,2,80.36,0.3,0.1,14.68,1.01,0.0,0.05,2.38,0.47,0.66,360.2,236.04,0.735,475.0,0.0,0.1851,86.5,0.1851,0.0,0.6992
中溫廢熱_350C,3,77.32,0.19,0.63,12.69,1.27,2.98,0.8,3.41,0.33,0.37,361.8,227.38,0.726,460.0,0.0,0.1862,92.6,0.1862,0.0,0.6991
中溫廢熱_350C,4,80.12,0.0,0.0,14.16,0.0,0.38,0.75,3.46,0.52,0.61,360.7,231.89,0.727,469.0,0.0,0.1842,90.4,0.1842,0.0,0.6991
中溫廢熱_350C,5,78.63,0.0,1.45,15.48,0.0,2.92,0.74,0.09,0.32,0.37,359.9,235.94,0.736,477.0,0.0,0.1848,85.1,0.1848,0.0,0.699
中溫廢熱_350C,6,78.82,0.0,0.71,14.1,0.0,1.43,0.72,3.58,0.54,0.12,360.8,229.5,0.725,464.0,0.0,0.184,90.7,0.184,0.0,0.699
中溫廢熱_350C,7,79.95,0.06,0.06,13.92,0.0,0.06,1.1,3.95,0.02,0.88,361.3,225.65,0.722,456.0,0.0,0.1841,93.0,0.1841,0.0,0.699
中溫廢熱_350C,8,78.87,0.82,0.0,13.59,0.0,1.85,0.58,3.65,0.13,0.51,361.2,232.87,0.728,471.0,0.0,0.1855,89.7,0.1855,0.0,0.6989
中溫廢熱_350C,9,78.43,1.44,0.0,13.73,0.0,2.7,0.35,2.96,0.09,0.31,360.6,228.25,0.727,472.0,0.0,0.1839,86.1,0.1839,0.0,0.6989
中溫廢熱_350C,10,79.48,0.24,0.0,14.08,0.0,1.37,1.14,2.86,0.51,0.32,361.1,232.19,0.728,468.0,0.0,0.1852,86.9,0.1852,0.0,0.6989
