scenario,rank,Fe_at%,Ni_at%,Co_at%,Cr_at%,Mn_at%,Cu_at%,Mo_at%,Si_at%,Al_at%,V_at%,Gd_at%,La_at%,P_at%,Ge_at%,Tc_C,Hc_A_m,Br_T,sigma_y_MPa,Tc_std_C,delta_M_T,kappa_WmK,M_at_low_T,M_at_high_T,device_eta_%,device_P_kW_m3,matrix_frac,fitness
低溫廢熱_150C,1,25.32,18.54,11.77,8.17,5.53,9.46,7.21,4.59,1.76,6.59,0.0,0.0,0.0,1.06,139.5,78.1,0.965,509.0,0.0,0.21,118.6,0.21,0.0,0.185,640.7,0.0,0.6939
低溫廢熱_150C,2,29.17,23.04,7.72,6.93,7.61,4.27,2.54,0.56,4.65,12.02,0.0,0.0,0.0,1.48,209.5,73.49,1.122,518.0,0.0,0.2058,96.2,0.483,0.2772,0.2927,571.3,0.0,0.378
低溫廢熱_150C,3,34.42,30.31,5.3,9.4,4.45,6.56,0.28,0.03,5.29,0.46,0.0,0.0,1.23,2.26,130.3,77.55,0.851,418.0,0.0,0.1357,110.4,0.1357,0.0,0.1163,444.7,0.0,0.2538
低溫廢熱_150C,4,18.4,15.32,23.84,2.87,4.09,4.68,0.42,3.71,13.22,12.23,0.0,0.0,0.0,1.23,125.6,66.25,1.135,486.0,0.0,0.135,116.2,0.135,0.0,0.1307,410.6,0.0,0.2242
低溫廢熱_150C,5,26.49,36.72,12.07,11.49,6.65,1.34,1.56,0.0,0.1,0.37,0.0,0.0,2.09,1.11,127.9,84.04,0.952,432.0,0.0,0.1335,86.5,0.1335,0.0,0.116,369.2,0.0,0.2231
低溫廢熱_150C,6,18.64,35.54,17.58,11.62,7.2,0.3,0.12,0.33,0.67,2.68,0.0,0.0,2.71,2.61,126.1,85.27,0.983,435.0,0.0,0.1217,82.2,0.1217,0.0,0.1117,324.0,0.0,0.1715
低溫廢熱_150C,7,26.61,29.33,13.79,7.16,6.24,4.17,3.28,0.48,1.96,3.13,0.0,0.0,1.85,1.99,124.8,78.95,1.068,440.0,0.0,0.1171,97.8,0.1171,0.0,0.1084,320.1,0.0,0.1553
低溫廢熱_150C,8,32.75,32.49,11.61,4.05,2.99,1.26,6.38,1.99,0.47,0.97,0.0,0.0,1.06,3.96,123.8,83.06,1.067,439.0,0.0,0.1049,92.0,0.1049,0.0,0.0967,275.2,0.0,0.1196
低溫廢熱_150C,9,33.08,26.01,6.38,0.0,7.51,7.05,4.2,3.37,4.75,4.89,0.0,0.0,0.47,2.29,123.4,75.13,1.018,423.0,0.0,0.0944,110.3,0.0944,0.0,0.091,281.8,0.0,0.0951
低溫廢熱_150C,10,31.79,22.86,12.03,6.08,0.0,7.44,6.4,6.28,2.04,1.24,0.0,0.0,0.0,3.83,385.9,69.15,1.05,449.0,0.0,0.08,119.5,0.6667,0.5867,0.1337,251.1,0.0,0.0346
