alloy,type,n_elem,lit_Hc,pred_Hc,hc_mean,hc_std,lit_Br,pred_Br,br_mean,br_std,lit_sy,pred_sy,sy_mean,sy_std,pred_Tc_C
Pure Fe,soft,1,80.0,298.73,293.66,20.93,1.4,0.885,0.883,0.0298,130,343.6,343.2,9.4,779.2
Permalloy,soft,2,0.4,195.55,196.18,8.52,0.7,0.371,0.371,0.0087,220,270.4,271.2,8.1,427.1
Mu-Metal,soft,4,0.2,207.34,204.53,7.56,0.6,0.313,0.314,0.0118,240,298.6,299.8,8.5,347.1
Sendust,soft,3,5.0,251.7,251.6,12.16,1.0,0.769,0.769,0.0214,350,406.8,405.3,6.0,584.8
Hiperco50,soft,2,80.0,172.57,174.62,12.49,2.4,0.8,0.811,0.0285,420,305.9,307.8,6.9,1029.4
Supermalloy,soft,3,0.16,198.98,201.46,9.22,0.7,0.337,0.338,0.0101,290,320.2,319.3,7.0,380.4
Silicon Steel,soft,2,40.0,297.71,297.89,18.35,2.0,0.862,0.862,0.0348,310,365.1,365.0,8.2,729.6
Permendur,soft,3,160.0,183.01,182.63,12.14,2.4,0.814,0.817,0.0237,470,319.7,320.8,6.7,986.4
Alnico5,hard,5,51000.0,143.47,143.97,6.94,1.25,0.659,0.658,0.0125,380,332.4,330.1,7.7,691.5
Pure Ni,soft,1,60.0,295.12,299.14,18.6,0.6,0.237,0.233,0.0171,140,249.3,252.3,11.3,310.6
