scenario,rank,Fe_at%,Ni_at%,Co_at%,Cr_at%,Mn_at%,Cu_at%,Mo_at%,Si_at%,Al_at%,V_at%,Tc_C,Hc_A_m,Br_T,sigma_y_MPa,fitness
低溫廢熱_150C,1,20.21,24.15,16.44,10.31,2.87,0.0,0.7,18.55,0.0,6.77,149.9,40.19,0.349,517.0,0.8048
低溫廢熱_150C,2,21.69,25.4,14.06,10.25,1.26,0.0,0.37,18.7,0.0,8.27,148.5,39.33,0.349,519.0,0.8046
低溫廢熱_150C,3,21.91,25.61,13.7,9.87,1.97,0.0,0.81,18.56,0.0,7.56,149.0,40.12,0.348,519.0,0.8044
低溫廢熱_150C,4,21.94,25.12,14.2,10.2,1.55,0.0,0.61,18.44,0.0,7.94,151.3,39.66,0.351,520.0,0.8043
低溫廢熱_150C,5,19.07,22.08,16.89,8.43,1.17,0.0,0.36,11.52,7.53,12.95,150.5,39.44,0.362,515.0,0.8042
低溫廢熱_150C,6,20.87,24.05,14.93,9.17,1.2,0.0,0.32,13.18,6.68,9.59,149.9,39.09,0.369,505.0,0.804
低溫廢熱_150C,7,20.82,21.85,13.58,4.73,1.08,0.0,0.12,10.42,7.69,19.71,149.2,39.74,0.358,527.0,0.804
低溫廢熱_150C,8,18.34,21.16,17.89,8.86,0.84,0.0,1.12,12.06,6.82,12.92,150.1,39.95,0.36,525.0,0.804
低溫廢熱_150C,9,21.12,23.92,15.56,10.29,1.11,0.0,0.15,12.74,7.19,7.92,150.0,38.78,0.373,500.0,0.804
低溫廢熱_150C,10,19.49,18.93,18.06,7.9,1.33,0.0,0.12,13.74,5.55,14.89,150.3,39.09,0.369,525.0,0.8039
中溫廢熱_350C,1,23.69,26.69,19.18,3.13,1.09,0.0,0.31,19.79,0.0,6.12,350.1,39.35,0.395,451.0,0.8012
中溫廢熱_350C,2,23.43,26.63,19.73,4.21,0.47,0.0,0.45,19.82,0.0,5.27,348.4,39.29,0.395,453.0,0.8007
中溫廢熱_350C,3,21.36,26.35,20.3,0.76,0.93,0.0,0.24,19.09,0.0,10.96,348.6,40.28,0.385,459.0,0.8006
中溫廢熱_350C,4,23.59,27.1,19.37,3.7,0.93,0.0,0.3,19.09,0.0,5.92,350.6,39.8,0.396,450.0,0.8005
中溫廢熱_350C,5,24.07,27.3,18.87,4.11,0.85,0.0,0.22,19.25,0.0,5.33,348.2,39.61,0.397,449.0,0.8
中溫廢熱_350C,6,23.99,25.81,20.18,4.56,0.78,0.0,0.25,18.68,0.0,5.76,350.0,39.97,0.402,453.0,0.7999
中溫廢熱_350C,7,23.93,27.35,19.32,4.46,0.51,0.0,0.25,18.16,0.0,6.03,350.5,40.14,0.399,451.0,0.7998
中溫廢熱_350C,8,25.55,25.0,19.88,3.77,2.97,0.35,0.83,9.78,7.01,4.86,351.7,40.2,0.395,453.0,0.7996
中溫廢熱_350C,9,23.88,27.76,18.53,3.32,0.55,0.0,0.51,18.87,0.0,6.58,351.6,40.36,0.395,455.0,0.7995
中溫廢熱_350C,10,23.29,26.98,19.7,3.89,0.74,0.0,0.92,19.12,0.0,5.37,350.4,41.74,0.386,450.0,0.7994
高溫廢熱_500C,1,21.3,25.14,30.61,0.63,0.35,0.0,2.21,0.24,0.0,19.52,498.5,42.47,0.451,464.0,0.7926
高溫廢熱_500C,2,21.9,24.09,30.59,0.28,0.27,0.0,2.25,1.05,0.0,19.56,501.1,42.4,0.455,465.0,0.7925
高溫廢熱_500C,3,21.29,24.23,32.6,2.27,0.22,0.0,1.16,0.32,0.0,17.91,500.2,42.12,0.461,453.0,0.7924
高溫廢熱_500C,4,21.73,24.6,29.84,0.0,0.4,0.0,2.89,0.82,0.0,19.72,498.4,42.79,0.449,470.0,0.7924
高溫廢熱_500C,5,21.63,23.98,29.52,0.08,0.42,0.0,1.41,0.0,0.0,22.96,502.8,41.22,0.462,476.0,0.7923
高溫廢熱_500C,6,21.88,25.42,29.85,0.77,0.56,0.0,2.62,0.12,0.0,18.78,498.5,42.92,0.452,465.0,0.7921
高溫廢熱_500C,7,21.52,25.69,29.93,2.2,0.32,0.0,0.81,0.0,0.0,19.53,500.4,42.18,0.464,458.0,0.7921
高溫廢熱_500C,8,21.25,24.48,30.82,1.26,0.37,0.0,3.09,0.34,0.0,18.39,499.5,43.25,0.451,470.0,0.7921
高溫廢熱_500C,9,18.41,21.31,34.16,1.53,0.24,0.0,4.26,0.58,0.0,19.53,498.3,43.69,0.442,492.0,0.7921
高溫廢熱_500C,10,21.4,23.8,31.16,0.92,0.21,0.0,2.66,1.26,0.0,18.59,500.8,43.03,0.453,467.0,0.7921
