scenario,rank,Fe_at%,Ni_at%,Co_at%,Cr_at%,Mn_at%,Cu_at%,Mo_at%,Si_at%,Al_at%,V_at%,Tc_C,Hc_A_m,Br_T,sigma_y_MPa,Tc_std_C,delta_M_T,kappa_WmK,M_at_low_T,M_at_high_T,fitness
低溫廢熱_150C,1,69.41,0.07,0.23,20.66,0.0,7.66,0.1,1.65,0.18,0.05,164.9,199.75,0.626,488.0,0.0,0.2005,109.0,0.2005,0.0,0.7355
低溫廢熱_150C,2,69.58,0.01,0.25,21.25,0.03,8.03,0.65,0.0,0.0,0.2,164.9,202.62,0.627,489.0,0.0,0.2006,109.1,0.2006,0.0,0.7354
低溫廢熱_150C,3,69.67,0.55,0.01,21.24,0.15,7.83,0.34,0.0,0.0,0.21,164.7,201.35,0.627,487.0,0.0,0.2004,108.1,0.2004,0.0,0.7351
低溫廢熱_150C,4,68.64,0.3,0.28,20.69,0.11,9.32,0.64,0.0,0.0,0.04,165.9,200.37,0.618,480.0,0.0,0.1999,113.2,0.1999,0.0,0.7351
低溫廢熱_150C,5,69.38,0.59,0.28,21.04,0.63,7.81,0.05,0.0,0.0,0.23,164.6,200.18,0.627,485.0,0.0,0.2002,107.6,0.2002,0.0,0.7347
低溫廢熱_150C,6,68.59,0.0,0.16,20.27,0.18,9.92,0.62,0.0,0.0,0.24,166.8,202.69,0.617,477.0,0.0,0.2012,114.8,0.2012,0.0,0.7346
低溫廢熱_150C,7,70.5,0.0,0.01,21.48,0.0,6.97,0.15,0.25,0.63,0.01,164.5,201.75,0.631,494.0,0.0,0.2013,106.6,0.2013,0.0,0.7344
低溫廢熱_150C,8,68.49,0.19,0.21,20.32,0.1,9.88,0.26,0.0,0.0,0.55,166.3,200.59,0.615,477.0,0.0,0.1999,114.4,0.1999,0.0,0.7344
低溫廢熱_150C,9,69.11,0.0,0.08,20.32,0.0,8.0,0.24,1.3,0.65,0.3,165.5,200.37,0.621,490.0,0.0,0.2,110.4,0.2,0.0,0.7344
低溫廢熱_150C,10,69.72,0.06,0.2,21.2,0.0,7.6,0.55,0.14,0.54,0.0,165.1,200.11,0.625,492.0,0.0,0.2005,108.7,0.2005,0.0,0.7343
中溫廢熱_350C,1,76.71,0.0,0.1,11.48,0.64,10.42,0.66,0.0,0.0,0.0,372.7,229.57,0.701,415.0,0.0,0.2004,115.0,0.2004,0.0,0.7632
中溫廢熱_350C,2,77.44,0.0,0.0,12.19,0.0,8.36,1.79,0.0,0.0,0.22,371.5,227.04,0.708,440.0,0.0,0.2002,109.5,0.2002,0.0,0.7614
中溫廢熱_350C,3,78.0,0.49,0.49,13.65,0.0,7.14,0.03,0.0,0.0,0.2,369.7,221.8,0.719,435.0,0.0,0.1999,104.9,0.1999,0.0,0.7608
中溫廢熱_350C,4,76.62,0.79,0.36,12.2,0.0,9.24,0.42,0.0,0.0,0.38,372.0,218.99,0.704,427.0,0.0,0.1999,111.6,0.1999,0.0,0.7606
中溫廢熱_350C,5,76.71,0.0,0.2,11.48,0.0,10.57,0.14,0.62,0.16,0.11,373.8,219.56,0.696,409.0,0.0,0.2006,116.3,0.2006,0.0,0.7598
中溫廢熱_350C,6,77.19,0.39,0.31,12.02,0.97,8.52,0.32,0.0,0.0,0.29,371.7,220.04,0.71,425.0,0.0,0.2009,108.5,0.2009,0.0,0.7598
中溫廢熱_350C,7,73.03,0.65,0.85,10.92,0.9,8.96,3.06,0.88,0.49,0.26,371.9,222.32,0.705,425.0,0.0,0.2,109.3,0.2,0.0,0.7595
中溫廢熱_350C,8,77.51,0.0,0.25,12.26,0.0,8.13,0.07,1.27,0.39,0.12,372.8,221.63,0.699,422.0,0.0,0.2,112.2,0.2,0.0,0.759
中溫廢熱_350C,9,77.14,0.0,0.1,11.87,0.0,8.97,0.51,0.91,0.51,0.0,372.7,219.15,0.706,418.0,0.0,0.2017,110.8,0.2017,0.0,0.7587
中溫廢熱_350C,10,77.03,0.46,0.0,11.21,1.38,9.39,0.26,0.0,0.0,0.28,371.0,223.11,0.711,431.0,0.0,0.2001,105.8,0.2001,0.0,0.7587
高溫廢熱_500C,1,83.33,0.03,0.25,4.13,0.94,10.72,0.45,0.0,0.0,0.15,523.7,238.34,0.773,365.0,0.0,0.2005,114.6,0.2005,0.0,0.7903
高溫廢熱_500C,2,74.97,0.01,0.11,8.49,0.0,6.09,8.17,1.49,0.32,0.34,523.3,245.96,0.774,373.0,0.0,0.2003,112.0,0.2003,0.0,0.7881
高溫廢熱_500C,3,83.32,0.57,0.36,5.54,0.16,9.64,0.41,0.0,0.0,0.0,524.2,238.96,0.777,371.0,0.0,0.2026,112.3,0.2026,0.0,0.7868
高溫廢熱_500C,4,83.66,0.23,0.35,5.12,0.27,9.87,0.2,0.0,0.0,0.3,528.7,237.55,0.739,323.0,0.0,0.2,131.6,0.2,0.0,0.786
高溫廢熱_500C,5,81.03,0.1,0.2,0.0,0.34,15.48,0.32,2.19,0.26,0.07,528.7,236.56,0.74,325.0,0.0,0.2001,129.5,0.2001,0.0,0.7859
高溫廢熱_500C,6,81.02,0.46,0.1,0.05,0.73,14.93,0.49,2.04,0.18,0.0,526.6,236.12,0.765,360.0,0.0,0.2035,118.4,0.2035,0.0,0.7854
高溫廢熱_500C,7,82.79,0.85,0.15,4.09,0.0,11.68,0.4,0.0,0.0,0.04,524.2,238.89,0.776,377.0,0.0,0.2024,111.0,0.2024,0.0,0.7852
高溫廢熱_500C,8,83.23,0.23,0.84,5.7,0.07,9.25,0.63,0.0,0.0,0.04,525.1,238.76,0.769,374.0,0.0,0.2021,113.4,0.2021,0.0,0.7848
高溫廢熱_500C,9,83.07,0.56,0.14,4.47,0.18,10.05,1.2,0.0,0.0,0.32,523.3,237.32,0.775,379.0,0.0,0.2006,109.3,0.2006,0.0,0.7848
高溫廢熱_500C,10,83.43,1.39,0.0,5.57,0.1,8.72,0.73,0.0,0.0,0.05,525.0,242.23,0.781,370.0,0.0,0.2051,111.7,0.2051,0.0,0.7847
