scenario,rank,Fe_at%,Ni_at%,Co_at%,Cr_at%,Mn_at%,Cu_at%,Mo_at%,Si_at%,Al_at%,V_at%,Tc_C,Hc_A_m,Br_T,sigma_y_MPa,Tc_std_C,delta_M_T,kappa_WmK,M_at_low_T,M_at_high_T,fitness
低溫廢熱_150C,1,52.28,0.62,0.0,2.36,0.72,35.52,0.0,3.72,3.54,1.24,152.6,215.91,0.481,307.0,0.0,0.1332,201.4,0.1332,0.0,0.7329
低溫廢熱_150C,2,51.97,0.16,0.0,1.58,1.27,35.56,1.15,5.94,1.63,0.73,152.7,221.37,0.479,317.0,0.0,0.1326,200.4,0.1326,0.0,0.7328
低溫廢熱_150C,3,51.29,1.47,0.0,2.03,0.0,36.14,0.62,4.96,1.7,1.8,152.9,216.36,0.477,313.0,0.0,0.1326,202.0,0.1326,0.0,0.7328
低溫廢熱_150C,4,51.08,0.43,1.09,1.15,2.74,38.08,0.29,3.75,1.38,0.0,152.8,219.89,0.477,287.0,0.0,0.1323,205.6,0.1323,0.0,0.7327
低溫廢熱_150C,5,50.76,2.81,0.0,1.82,0.1,35.0,0.0,4.93,3.74,0.85,152.9,207.89,0.476,306.0,0.0,0.1322,201.7,0.1322,0.0,0.7326
低溫廢熱_150C,6,51.46,1.34,0.0,1.01,1.37,36.83,0.49,4.67,0.58,2.25,153.5,218.96,0.476,298.0,0.0,0.1335,200.9,0.1335,0.0,0.7326
低溫廢熱_150C,7,51.64,0.15,0.0,0.0,1.3,39.63,0.65,3.93,1.11,1.6,152.7,224.98,0.474,283.0,0.0,0.1315,210.3,0.1315,0.0,0.7325
低溫廢熱_150C,8,51.81,0.0,0.0,1.57,0.58,36.76,1.34,2.81,2.07,3.07,152.9,223.74,0.473,314.0,0.0,0.1314,202.3,0.1314,0.0,0.7325
低溫廢熱_150C,9,47.16,0.17,5.08,0.71,1.49,37.73,0.0,4.96,0.82,1.88,153.1,210.37,0.472,280.0,0.0,0.1316,205.0,0.1316,0.0,0.7324
低溫廢熱_150C,10,49.91,0.27,1.64,0.13,1.07,37.22,0.0,3.99,4.63,1.14,152.6,212.15,0.473,294.0,0.0,0.131,208.6,0.131,0.0,0.7324
中溫廢熱_350C,1,46.09,0.03,17.17,0.0,0.0,35.88,0.22,0.21,0.32,0.07,357.4,197.22,0.539,244.0,0.0,0.1311,199.4,0.1311,0.0,0.7368
中溫廢熱_350C,2,44.72,0.11,18.57,0.16,0.05,36.16,0.0,0.0,0.15,0.09,357.4,190.36,0.532,231.0,0.0,0.1297,200.0,0.1297,0.0,0.7368
中溫廢熱_350C,3,45.04,0.49,17.64,0.11,0.0,35.8,0.15,0.03,0.74,0.0,357.2,194.08,0.533,245.0,0.0,0.1295,199.8,0.1295,0.0,0.7368
中溫廢熱_350C,4,43.42,0.0,19.59,0.08,0.01,36.21,0.03,0.08,0.33,0.23,356.8,193.2,0.53,239.0,0.0,0.1282,200.6,0.1282,0.0,0.7367
中溫廢熱_350C,5,43.26,0.03,19.73,0.08,0.17,36.09,0.0,0.29,0.34,0.0,356.6,192.49,0.53,240.0,0.0,0.1278,200.4,0.1278,0.0,0.7367
中溫廢熱_350C,6,36.7,0.33,21.98,0.0,0.87,39.02,0.2,0.41,0.3,0.18,356.7,191.86,0.529,241.0,0.0,0.1278,200.3,0.1278,0.0,0.7367
中溫廢熱_350C,7,42.9,0.0,20.0,0.0,0.17,35.96,0.06,0.53,0.38,0.0,357.1,192.19,0.529,240.0,0.0,0.1282,200.1,0.1282,0.0,0.7366
中溫廢熱_350C,8,42.91,0.0,20.01,0.0,0.23,36.09,0.2,0.1,0.23,0.23,356.3,193.0,0.531,243.0,0.0,0.1274,200.5,0.1274,0.0,0.7366
中溫廢熱_350C,9,43.93,0.01,18.81,0.2,0.0,36.1,0.1,0.41,0.35,0.09,357.2,192.56,0.529,241.0,0.0,0.1285,200.0,0.1285,0.0,0.7366
中溫廢熱_350C,10,42.75,0.0,20.15,0.03,0.13,36.0,0.41,0.4,0.02,0.11,356.5,192.37,0.53,240.0,0.0,0.1275,200.0,0.1275,0.0,0.7366
高溫廢熱_500C,1,22.22,0.0,42.97,0.01,0.0,34.59,0.03,0.08,0.1,0.0,511.5,123.59,0.507,223.0,0.0,0.1165,199.8,0.1165,0.0,0.7405
高溫廢熱_500C,2,21.82,0.12,43.25,0.01,0.0,34.61,0.02,0.11,0.07,0.0,511.4,122.15,0.505,222.0,0.0,0.1161,200.0,0.1161,0.0,0.7404
高溫廢熱_500C,3,21.81,0.04,43.29,0.0,0.0,34.6,0.04,0.04,0.14,0.03,511.7,122.34,0.505,223.0,0.0,0.1164,200.0,0.1164,0.0,0.7404
高溫廢熱_500C,4,21.78,0.0,43.32,0.03,0.0,34.57,0.09,0.08,0.11,0.01,511.2,122.55,0.505,223.0,0.0,0.1157,199.9,0.1157,0.0,0.7404
高溫廢熱_500C,5,21.64,0.0,43.46,0.04,0.0,34.59,0.04,0.1,0.09,0.05,511.2,121.99,0.505,223.0,0.0,0.1157,199.9,0.1157,0.0,0.7404
高溫廢熱_500C,6,21.69,0.0,43.37,0.0,0.0,34.56,0.12,0.07,0.14,0.03,510.9,122.37,0.505,223.0,0.0,0.1153,200.0,0.1153,0.0,0.7404
高溫廢熱_500C,7,21.3,0.03,43.74,0.03,0.0,34.64,0.02,0.07,0.16,0.01,511.4,120.94,0.504,223.0,0.0,0.1157,200.3,0.1157,0.0,0.7404
高溫廢熱_500C,8,21.42,0.0,43.66,0.0,0.0,34.66,0.04,0.04,0.14,0.05,511.7,121.38,0.504,222.0,0.0,0.1162,200.2,0.1162,0.0,0.7404
高溫廢熱_500C,9,22.8,0.0,42.37,0.03,0.01,34.72,0.06,0.0,0.0,0.0,511.0,132.02,0.505,226.0,0.0,0.1153,199.9,0.1153,0.0,0.7404
高溫廢熱_500C,10,22.13,0.22,42.84,0.03,0.28,34.07,0.15,0.05,0.23,0.01,511.8,121.97,0.505,223.0,0.0,0.1164,200.0,0.1164,0.0,0.7404
